taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV132,-0.567927271,0.280968349,-2.021321167,0.054534759,0.107545819,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Psychroglaciecola,Psychroglaciecola,ASV132_Psychroglaciecola
ASV1326,-1.251377187,0.578988024,-2.161317912,0.040866008,0.084008373,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV1326_Hymenobacter
ASV1330,-1.129578169,0.466806249,-2.419800873,0.023468349,0.053810564,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides,ASV1330_Nocardioides
ASV1332,-1.108016479,0.450784977,-2.457971172,0.021574908,0.050201884,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas,ASV1332_Brevundimonas
ASV1333,-0.322211698,0.723881389,-0.445116703,0.660224254,0.764467661,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV1333_Isosphaeraceae
ASV1334,-0.80540658,0.617487675,-1.304328188,0.204492426,0.315072824,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter,ASV1334_Solirubrobacter
ASV134,2.283009606,0.543827538,4.198039725,3.19E-04,0.001976583,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Aggregatilineales,A4b,NA,A4b,ASV134_A4b
ASV1342,1.097617119,0.558159819,1.96649254,0.060909288,0.118011745,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1342_JG30-KF-CM45
ASV1353,-0.761862201,0.559246239,-1.362301877,0.185751908,0.291412407,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1353_JG30-KF-CM45
ASV1356,-1.160767792,0.398328142,-2.914099378,0.007603768,0.020390726,FALSE,FALSE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV1356_Gemmata
ASV136,-1.608913242,0.404882156,-3.973781556,5.63E-04,0.003051138,TRUE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Luteolibacter,ASV136_Luteolibacter
ASV1361,-1.788782717,0.443969957,-4.029062524,4.90E-04,0.002841802,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter,ASV1361_Adhaeribacter
ASV1365,-1.321920835,0.483340261,-2.734969425,0.011540939,0.029616648,FALSE,FALSE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea,ASV1365_Actinotalea
ASV1367,-1.059427989,0.548101238,-1.932905668,0.065130702,0.124632825,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter,ASV1367_Solirubrobacter
ASV1368,0.428542631,0.601118204,0.712909089,0.482776623,0.616043931,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1368_Tautonia
ASV137,-0.447193691,0.31855056,-1.403838971,0.173174905,0.275021622,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,Rhodocytophaga,ASV137_Rhodocytophaga
ASV1370,0.025406479,0.379468917,0.066952727,0.947173982,0.964598996,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,Fimbriimonadaceae,ASV1370_Fimbriimonadaceae
ASV1376,-1.046782072,0.550590966,-1.901197325,0.069349237,0.131086973,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,Tepidisphaera,ASV1376_Tepidisphaera
ASV1379,-2.167475667,0.673642268,-3.217547014,0.003680837,0.011739295,TRUE,TRUE,Bulk,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Aetherobacter,Aetherobacter,ASV1379_Aetherobacter
ASV1381,-1.213131228,0.442663793,-2.740525082,0.011394137,0.029337064,FALSE,FALSE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV1381_Gemmata
ASV1383,-1.951503565,0.493235562,-3.956534596,5.88E-04,0.003137571,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1383_AKIW781
ASV1384,0.317252309,0.453451158,0.699639429,0.490878786,0.621619378,FALSE,TRUE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1384_Armatimonadaceae
ASV139,0.185784323,0.411057892,0.45196632,0.65535161,0.761666362,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV139_JG30-KF-CM45
ASV1396,-2.407269174,0.507101912,-4.747111221,7.90E-05,6.70E-04,TRUE,TRUE,Bulk,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus,ASV1396_Planococcus
ASV14,-1.327456257,0.245831394,-5.399864653,1.52E-05,2.10E-04,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,NA,Beijerinckiaceae,ASV14_Beijerinckiaceae
ASV140,-0.397655594,0.26893027,-1.478656877,0.152237918,0.248388183,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Marmoricola,ASV140_Marmoricola
ASV1401,1.173959352,0.651721363,1.80132096,0.084230865,0.152165316,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,Isosphaeraceae,ASV1401_Isosphaeraceae
ASV1404,-1.229158515,0.516086347,-2.381691594,0.025510637,0.056812483,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,PMMR1,PMMR1,ASV1404_PMMR1
ASV1406,-0.963358404,0.494614269,-1.947696345,0.063241058,0.121919951,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,Acetobacteraceae,ASV1406_Acetobacteraceae
ASV1410,0.391708144,0.596950812,0.656181608,0.517949526,0.647436908,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,Oxalobacteraceae,ASV1410_Oxalobacteraceae
ASV1415,-1.626814242,0.548968389,-2.9634024,0.006768387,0.018704856,FALSE,FALSE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola,Marisediminicola,ASV1415_Marisediminicola
ASV1416,0.199606524,0.554026196,0.360283549,0.721786531,0.808359193,FALSE,TRUE,Bulk,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV1416_Bryobacter
ASV1423,-2.107640946,0.408659778,-5.157446514,2.79E-05,3.05E-04,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV1423_WD2101_Bulk_group
ASV1426,0.092141239,0.571970825,0.161094299,0.873367523,0.926120318,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV1426_WD2101_Bulk_group
ASV143,-0.934213561,0.290892625,-3.211540894,0.003734814,0.011862628,FALSE,FALSE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV143_JG30-KF-CM45
ASV1430,-0.245993003,0.511243011,-0.481166485,0.634756051,0.748760943,FALSE,TRUE,Bulk,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus,ASV1430_Paenibacillus
ASV1435,-0.274202563,0.519294996,-0.528028509,0.602328134,0.720377012,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,Microvirga,ASV1435_Microvirga
ASV1439,-0.998451918,0.493844281,-2.021795042,0.054482343,0.107545819,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter,Parviterribacter,ASV1439_Parviterribacter
ASV1445,0.771242415,0.469193344,1.643762482,0.113263129,0.194631763,FALSE,FALSE,Bulk,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1445_Armatimonadaceae
ASV1449,-1.532789477,0.492678119,-3.111137715,0.004758571,0.014634494,FALSE,FALSE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,NA,Beijerinckiaceae,ASV1449_Beijerinckiaceae
ASV145,-1.098448028,0.258247403,-4.253471738,2.77E-04,0.001805313,TRUE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Mangrovihabitans,Mangrovihabitans,ASV145_Mangrovihabitans
