taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1141,-1.299458705,0.608921048,-2.134034798,0.043259551,0.12561079,FALSE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus,ASV1141_Deinococcus
ASV1142,-0.476503,0.779271124,-0.611472677,0.546635689,0.737315185,FALSE,TRUE,L-BSC,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes,ASV1142_Actinoplanes
ASV1143,1.194706544,0.590403442,2.023542646,0.054289424,0.147357009,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata,ASV1143_Gemmata
ASV115,-2.075742968,0.794901073,-2.611322387,0.015307251,0.057915747,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,Longimicrobium,Longimicrobium,ASV115_Longimicrobium
ASV1154,2.211274726,0.630691845,3.50610959,0.001814725,0.011859858,TRUE,TRUE,L-BSC,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,Deinococcaceae,ASV1154_Deinococcaceae
ASV1155,-1.816545048,0.569582141,-3.189259139,0.003941817,0.021007001,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV1155_WD2101_soil_group
ASV1157,-2.406627946,0.559453432,-4.301748473,2.45E-04,0.002463361,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1157_Tautonia
ASV1165,0.556910658,0.65859135,0.845608825,0.40612301,0.612749491,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV1165_Chthoniobacter
ASV117,0.601991169,0.525693369,1.145137459,0.263443746,0.462330873,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV117_Blastocatella
ASV1170,-1.545028893,0.695929882,-2.22009276,0.03611062,0.109585702,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella,ASV1170_Cnuella
ASV1171,-0.323368533,0.485371515,-0.666228904,0.511618635,0.709038131,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas,ASV1171_Gemmatimonas
ASV1172,-1.487945755,0.525841798,-2.829645266,0.009267346,0.038947599,TRUE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1172_Tautonia
